,Tweet,Sentiment
3349,Working now,neutral
3350,Moodle Intro training this morning... ages since i`ve done that... and only 2 bookings,neutral
3351, I can`t believe this! Did they give you any reason?,neutral
3352,but  Humira isn`t right for everyone. Some respond better to Enbrel. Ask your Rheumy. But not much long-term testing done,neutral
3354," I have been subtly replacing it with 'penetration testing' when I see it, but nobody`s caught on yet.",neutral
3356," Need a tickettttt  Gah. Ya you`ve got me on there, reason346.. Haven`t listened to dear Elliott for a few weeks...overdue..",negative
3358,says headache  http://plurk.com/p/wydaf,negative
3359,"On a day like today I would wear shorts and tshirt, but now I`m at DHQ it`s office wear...",neutral
3361,"just got up, smoking a cig and drinking coffee.. i need to start working on my final project for the univ",neutral
3362,hate this **** cold. i can`t stop sneezing. and claratyne only works for an hr or 2,negative
3364,just seen 1 of the fat single Mums from up the road 'seductively' sprawled across some poor blokes bonnet. He probably needs new shockers,negative
3366, aww... me too,neutral
3367,"cannot go, cannot refused to feel the pain",negative
3368,AH! so nice to be back on bike commute although three days off and my (what google sez are called) my quadriceps literally screaming. gah,neutral
3372,My poor andrew just had 2 of his wisdom teeth removed.  i wish he`ll get better fast.,positive
3374,did not sleep a wink last night  X,neutral
3375, I can`t take it,negative
3376,beautiful day... and im working  leaving now so i can get some sun though,positive
3377, lol i wos gona send mine in bt i was too late  ****,negative
3378, Oh no,neutral
3379,went to bed last night with the feeling of a migraine coming and woke up feeling worse.,negative
3380,Cashflow forecasts are fun but big red numbers aren`t,neutral
3382," Other people have their Glasgow ones, standing and seats, for all nights.",neutral
3384, omfg  whyyyyyy not that sucks!!! and r18?? wtf...  T.A.I. getcho` asses down here,negative
3385,im going to work,neutral
3388, i tried. and failed,negative
3389,Elena left this morning. Nine months spent living with her and now it`ll probably be about 2 years till I see her again. Hmph.,negative
3390,   We`re idiots.  Ok mostly I was skint but hell I could`ve done something......,negative
3391,"Just found out my kitty isn`t pregnant  its a good thing though, we are going to adopt one instead",positive
3392,On my way home in the sunshine with a bag full of my stuff from work...,neutral
3393,"Forced myself out of bed this morning, but failed to cycle in. ****.",negative
3394,I was sleeping soo good but just woke up like 10 mins ago n got sick  not feeling so great. I wanna go back to sleep but I`m wide awake.,negative
3395,Happy Grey`s day everyone! Oh I miss Grey`s!!,neutral
3396,i wish i can go to two different schools at the same time.,positive
3397,"We`ll be moving from a strength to a hypertrophy phase for chest, back, shoulders and arms for the next few weeks. Legs will stay behind",neutral
3398,jerk josh! didn`t even come meet me  - im thinking of a number guess ?,negative
3399,i am not happy at all,negative
3400,"Im regretting the alcohol I consumed last night, MY HEAD",negative
3401,http://twitpic.com/6698b - Clean,neutral
3402,Bloody servers are down at work for at least 3 hours. Want to go home now!,negative
3403,in the mailbox already for 2 hours,neutral
3407,"Is in the badbooks again, don`t know why I bother",negative
3408, *hug* yep I hate that meself,negative
3409," Yeah it`s the Ford Focus Titanium, you only get the helicopter add on with the top-end luxury models unfortunately",negative
3410,In KL now took wrong turn after Sg Besi now jam in city center,neutral
3411,im so hungry and i have nothing to eat,negative
3412, i take it you`re not a fan,negative
3414,"oooh battlestar galactica is on the other channel. it`s the rebellion episode! man, i feel so sad about what became of gaeta.  i liked him",neutral
3417,won`t be going to the Oxford Internet Institute Sunner Doctoral Programme in Brisbane: lack of funding,negative
3418, wish you we`re coming to Perth,neutral
3419, Not so good  I think that`s my fault though - didn`t use buttermilk. Recipe was on back of the flour.,negative
3420, am alive   but at work   finish at 1300   sun is out,neutral
3422,headed to the hospital. i can`t take the pain anymore,negative
3423,  I`m not a big fan of Costa  I ended up going to EAT as they have one outside our office!,negative
3424,"absolutely boiling! Got factor 50+ on! Must not turn orange, must not look like oompa lumpa... My left shoulder is burnt from yesterday",negative
3426,should be going nfg tonight,neutral
3427, Oh that can`t be nice,negative
3428,_l I got excited when I thought that exhibit was in Sydney. But it`s not,negative
3429, Will have to it`s only across the water and all. Just damned expensive,negative
3430,It`s cause you give me a reason to assume.  - http://tweet.sg,neutral
3431,so during that whole whole addiction talk with my brother and that lady....i broke down and couldnt help but cry,negative
3432,Wish someone would by my 90mm Mamiya MF lens. Needs the money,neutral
3433,Just got bullied by Dillah.  HELP!,negative
3434,i can`t studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,negative
3435,damjust finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale,positive
3438, Well I live in Ohio  but here`s our California parks: http://tinyurl.com/nmr7pc,neutral
3439,dam just finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale,positive
3440,princess_I have to pack up my house today.. ButIneedhelp,neutral
3441,won`t be going to the Oxford Internet Institute Summer Doctoral Programme in Brisbane: lack of funding,negative
3442," LOL. dood, i love you and miss you.",neutral
3443,Seems like i`m the only person over here doing postal voting for the upcoming election ... been there already twice to get the documents,neutral
3444,is still waiting.,negative
3445,if someone had`ve told me things would get this hard..i would never have done it,positive
3446,"I want to see my friends  Mindless fun. No work, all play. All drunk, all walwal. All being mean to each other and sleeping in one bed",positive
3447,signed up for broadband today could take 4-6 weeks,neutral
3448,I failed my maths exam today. fxxxmylife,negative
3449,?Ã¯Â¿Â½ nh?n ???c bonus r?i. Ch?c ch? ?? bÃ¯Â¿Â½ vÃ¯Â¿Â½o kho?n unpaid leave,neutral
3450,afaik A LITTLE SAD THAT CROCCOS IS NO LONGER AVAILABLE FOR SALSA WED NIGHTS. BUMMER!!!!IENJOYED GOING THERE WED NIGHTS.,negative
3451,i know i was wrong. maybe i shouldnt did all of those **** things like that,negative
3452,"OMG, it`s JULY`S LAST DAY!",neutral
3453,Cross Country was today...Hmmphh my feet hurt,negative
3454,Bacon Fail.  Ended up with a commiseration muffin,negative
3455, Yeah daw. Awww...  Wear a mask na!,neutral
3458,"was doing a hard copy doc review,while writing comments realized `ve forgotten writing i.e. on paper,can hardly recognize or read it back",negative
3459,"'sometime around midnight' by The Airborne Toxic Event, literally cannot escape it. FML",negative
3461, id poke u...on face book but u dont have 1  lol,neutral
3463," err you can turn on optimized js+css & caching once we deploy the thing, but I hear what you`re saying",neutral
3465,stranded @ delhi Airport  flight delayed,negative
3466,will b having my last V tomorow   will have2live off of apples n not caffeine ;( n have2cut down on chocolate bye bye chocy,neutral
3467,"OMG, it`s JULY`S LAST DAY!  @ Muchachomalo",neutral
3469,Has that sinking feeling that it`s all about to go **** up.....bracing myself for the comedown,negative
3473,Goin 2 eat some SMACKS 4 breakfast then getting started on my day- catch ya on the flipside- I really wish I cud go mobile-dang Bahrain,positive
3474, why??,neutral
3475,"Sick, sick, sick. This sucks. i can`t even breathe properly",negative
3477,"Aaaa! I need to work today, Why cant i ever get the weekends off? It makes me want to cry",negative
3478, thank you! need to pass my test first,positive
3479, WHAT! That`s horrible! To purposely write about it to a bunny is just mean & cruel!    Not to mention just plain tacky....,negative
3480," sorry bout 2day  bloody typical,goin 4 a laydown now feel sick again,ooo this not nice x",negative
3481,"I`m up. getting ready for skill. can`t wait to fail my bio final yay! ugh, honor classes suckkkk.  ):",negative
3482, oh no! I woke up accidentally.  how can we get you to fall asleep? Should I scare you with P2 or P3 stories? JK!,negative
3484, Thanks for trying! Done just that and no good  If I can`t fathom it I`ll take it to Apple Store. Sigh...,positive
3487,im sick and sad its cold,negative
3488,"Just finished work nd now waiting in the freezing cold drinking a mango magic, haha FAIL T.T mama, wheree are yu ? I`m cold",negative
3489,Good morning/afternoon/night to all.....studying as usual!,neutral
3490,sick of having constant bad dreams  grr,negative
3491,_zorz_peep count yourself lucky i was gonna say the OTHER word instead...and rsvp...sorry i cant come to ur birthday...day?,negative
3493,Ugh 2 days whatever to somewhere,neutral
3494,Is feeling like he has a bad flu. Yes. Bad. Flu.,negative
3495,Ohhh  only a bit of time left to have an account on the forums.. I do hope I get to be a leader some day :/,positive
3496,i wish i could of been at commencement this yr  i wonder if they`re really going to protest.,positive
3497,I would Join you shopping but i have work all weekend  six degrees of seperation is confsuing,negative
3499,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why can`t I have more? Lame.,negative
3500,"It`s a beautiful day outside today, shame I`m stuck in the office with the blinds shut to stop glare.",neutral
3501, prolly E71... I can`t think of anything else and I`m unfortunately not a Singtel customer,negative
3503,Tired of hearing stories about everybody going to Ibiza...,negative
3504, no  the love of my life is. so i guess now im definately shooting for good,positive
3505,"Aaaagh, aircon not working in my office",negative
3506," my mac`s hard drive crashed then i brought it to powermac, they couldn`t recover the files  no back up (",negative
3507,  hmm.. idk that song.,neutral
3508,Why am I always the one on time. They are always late. I wanna sleep. I miss Mere.,negative
3509, And it`s such glorious weather too - poor you,neutral
3512,Doing accounts revision. Boo,neutral
3513,Wide awake and grouchy as ****.,negative
3514,i miss justin timberlake`s voice. i want him to make new album again,negative
3515,@_supernatural_ more Demon Sam!! I need it to numb the pain  ****,neutral
3516,i keep coughing my guts up,neutral
3517,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why... http://bit.ly/etB8H,neutral
3518,"Really Wish i could see dave from  again, missing him already",negative
3519,Its so hot here,negative
3520,needs 1000 words for 502 part 2 .... then freedom ..... until another few assignments and exams,neutral
3522, sorry we didn`t get a chance to chat at #screengrab09. Caught glimpse of you across room but was dragged home prematurely,negative
3524,Totally just skid all over the road.,neutral
3525, and now I have to shut computer down and get ready to go home from work....what a bummer.,negative
3526,Getting stressed over a sortie tomorrow. And like I am really really stress..,negative
3528, I agree with _Crazy it`s not worth it - block them & let Twitter police know about harrassment.,negative
3529,sadly  brother told me there are no skateparks where he lives. BUMMER!,negative
3530, Miss you in that 70s show!!!!!!,negative
3531,home alone and no one left me any gummy bears,negative
3532,feels guility . sorry `bout that  http://plurk.com/p/wyqow,negative
3533,Woke up at 8:30am....now 10:30am and no clue what to do....?,neutral
3534, well us Brits have to wait a few more days for it!  I thought it was all gonna realized at once! I guess it`s worth the wait!,positive
3535,tomorrow will be my last day in work.. how sad.. bye Ange,negative
3536,Why did I agree to work on this gorgeous day?,neutral
3537,uhh I wish someone would include me in their follow friday - would be great to get more followers,positive
3538,waiting for landlord to come see about our shower,neutral
3539, I don`t think I`ve ever tried peanut butter on toast,neutral
3540, i can so sympathise with that,negative
3541,wished didnt spend money last night,negative
3542,what?! i just missed home + away! nooooooooo,negative
3543,baby alex i miss you  ily<3 good night</3,positive
3546,will miss jay leno ..,negative
3549,I stung myself with stinging nettles all down my shin,neutral
3551,why im not sleeping  !!,negative
3552, Ahhh so Jealous!  Have a nice time and I`ll see you when you get back x,neutral
3553,i don`t understand the whole follow friday thing?,negative
3555,I dreamt someone committed suicide w a drip stand!  - http://tweet.sg,neutral
3556, you`re not gonna paint me? oh well  ;),neutral
3557,I did not twitt yesterday cause it was a very busy day but I`ll be back tomorrow  BTW I can not sleep  I`m like in zombie mode @_@,negative
3558,i think that studying has really started taking its toll..,negative
3560,"sigh, still SEOs are submitting their client sites with part or no contact information on, I really don`t know how to make them read",neutral
3561, oh no  say it aint so,negative
3562," - No work, but gotta be here till 9pm  Enna kodumai sir idhu...",negative
3563,why am i up so early,negative
3564,"In the UK with no phone service  oh yea and still sick (cough, sniff)",negative
3565," awh, thats not good,   get better soon!",negative
3566, nope not really only a sweatshirt.  oh and these really really awesome doughnuts haha,positive
3567, SIGH  How are you?,negative
3568,Off to work now apparently sun shining not a valid excuse to stay home,neutral
3569, you`ve got the H1N1 tsk tsk tsk it`s a shame  haha feel better bro,positive
3570,i am living in ignorance  :@,negative
3571,#liesboystell buzy this week,neutral
3572,The Renegades last day was today and...well... he`s gone... didn`t catch him  Gutted... Closest he came to Greenock was Kilmacolm!,neutral
3573,"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?",negative
3574,Getting really guilty,negative
3576," dammit, no! one tweet from september, noodles is also taken",negative
3577,Not made it to work  couldn`t get up feelin blurgh,negative
3578,"It started out so lovely this morning, now looks like it`s gonna chuck it down",positive
3579,exams are the worst mahn!! 2 to go,negative
3580,trying to draw some manga/anime for our new website ... very bad idea!   http://bit.ly/k6iOv,negative
3581,Such a nice day today but stuck indoors revising  3 weeks and it is all over!!,neutral
3583,cannot relaxing because she have to practice for her graduation,neutral
3584,"Loving the weather this weekend, shame i`m back into work tomorrow",neutral
3585,The sun has gone in!,neutral
3586,i`m not ready for tomorrow`s competition!,neutral
3588,friends romans and country men lol ppl need 2 help me out and say i have twitter i dont have any friends   loner loner la da da,negative
3589," Crab boat? I have my mobile set to go off every night, to remind me to head to bed",neutral
3590,i have the bigggest headache,negative
3591,Half term is almost over,neutral
3592,"i hate the fact that it is so nice outsidee, and im inside doing revisionn",neutral
3593,  ok Cristal we gonna tweet talk again when its not so late...just follow sweetie....tweethug 4 ya,positive
3594,wants to feel better,positive
3595, Feel hungry now   Cook for me pleaseYour food it`s my energy to work~,neutral
3596, i havent got poked much,negative
3598,  cuss u siad u weren`t having it...lol,neutral
3599," Yup, 1987 lol. SWEET YEAR  haha",positive
3600, Haha! maybe I should try that. The insomnia is kickin` my butt,negative
3601,awe.. gotta go.. my mom commands me to sleep already..,negative
3602,Hulu Desktop looks nice but not for my region,positive
3603,Just got refused a bottle of morgan`s in tesco despite saying helen could verify my age...  shocking... Just left all the shopping! X,negative
3605,"Depressing day today, have to pack as leaving ridiculously early tomoro.",negative
3607,home not well hate not workin,negative
3608,well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it`s worth the wait!,neutral
3610,Have been rolling on the bed for the past 2 hours ... Still unable to sleep,neutral
3611,Good morning tweeps. Busy this a.m. but not in a working way,positive
3614,"Omg, I`m a murdere! I accidently just killed a spider",neutral
3615,Aww.. I lost 3 followers.  FOLLOW ME !,negative
3616,is doing boring accounts stuff,negative
3617,apparently even Novell Moonlight doesn`t work on my Jaunty,negative
3618, i live in manchester england but still have never been to london,neutral
3619, your SMS managed to crash my phone.,negative
3620, I have popcorn and fruitcake now...but it`s just not the same as Chocolate,neutral
3621, yup its working. they couldn`t recover anything on it though,negative
3622," Same as, it`s BS I tell you! Ah well, better attempt some",neutral
3623, when nina picked up my call lastnight i didnt know she was talking to me and i like totally didnt answerr,neutral
3624,__ thank You! I almost forgot hoe to type on the keyboard how long I was anway from my PC..,neutral
3625,LAST DAY in St Andrews.. i will spend it on west sands! and then packing,neutral
3627, well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it`s worth the wait!,positive
3628,Rod stewart`s new song,neutral
3629,Roommate is sssnoring :/ And my throat is so dry,negative
3630,don`t want to go!!!,negative
3631,Back from London  Now just catching up on all the tv and sleeping all day!,neutral
3635,Got three shots today.   I can`t lift my arms...,neutral
3636, zombie wrangler sounds like fun. I don`t have halo wars.,positive
3637,Good morning from RSA Twitterverse!! Please send me some happy vibes & cheerfulness today I`m feeling a little sad,neutral
3638,"early morning~2:30 am~what`s up? I am!~~!!played w/ my babies outside~wow~was in the 80`s~felt great!~~got lonely, misses sissy and jess",neutral
3639,Ahh I`m so confused  what can I do? I don`t wanna run away but can I really handle a real relationship? What is love anyways.. False hope!,negative
3640,"never did sleep last night  feeling horrible today, time to call work I thinks...",negative
3641, Awh I forgot you had the pox  Hope you get better soon!,positive
3642," trivia? Working, no computer!",neutral
3643,Ive finished 4th year!!! Argh Uni is going soooooo quick,neutral
3644, ugh! Tis so warm outside too  unfair! I want to go read and pack!,negative
3645,"  Blake Sea should have been a water sandbox (a la Cordova), but we can`t rez objects and autoreturn is 5 mins",neutral
3646, tea...  Mmmm crispy but no cake  Have headphones!,neutral
3647,its too early  i wanna go back to sleeep,neutral
3648,"Acquiring a CentOS live CD, now where did I put my memory stick, I would like to boot from that. I wonder if I left it at home",neutral
3649,Still gutted that man utd lost,negative
3651, commercial shoot in Tokyo. not much time to play there   quick and dirty,neutral
3652,What a bad day!,negative
3653,"feeling very stressed and strung out, awake at 4.50am, mind buzzing... and Mrs Dr. A is not talking to me",negative
3654, part 2: social networking??.. there is even room for people,neutral
3655,I soo wanna eat McDonalds Fries,neutral
3656, If it`s any consolation I`ve had to abandon the back garden thanks to my super-reflective laptop screen,positive
3657,"Omg I want TF2, everybody on my Steam Friends list is playing it",negative
3658,"i want my WOOSOO like now plz  i gant wait, knowing she`s so close is driveing me NUTTS",neutral
3659," Feel your pain with the hayfever - forgot to take mine yesterday, again.",negative
3660,  Is there going to be any more TAI TV? Ah I hope so,neutral
3661, it was me the whole time I did a ton of things so u would believe me but u wouldn`t listen or let me prove it. Or blve me,negative
3662,Can`t believe ER is over,neutral
3663,Thinking about someone. Now a days I think more and code less  What is it...?,neutral
3664, I wish I could still drink it but I had two bad nights with white wine in London and then I was sick for almost a week,negative
3665,"Stupid me, accidentally gave my honey the Atomic flavored buffalo wings and now his stomach feels just awful..... Im sorry baby",negative
3666,":O Job interview today, i`m really gonna mess this uuuup",negative
3667," Heavens, not good  I can empathise. Fingers crossed it doesn`t come to anything and you can sleep easy. Wishing for the best...",positive
3669,woke up an hour early just to study for        a test,neutral
3670, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral
3672,i need people to talk to me please im very bored  x  follow me!,negative
3673, I don`t have an invite  i might try Mr P Bale for an invite,neutral
3674,Still soo tired..not ready to get up for the day...work again,negative
3675, we can all but hope... georgia is still wide awake and has the hiccups,neutral
3676,Its times like these that I miss Manila. I`m not feeling up to myself lately,negative
3677,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative
3678, is there something wrong with the internet in chelmsford? my tv on demad isnt working right and my internet is SUPER slow,negative
3680,IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,negative
3681, if only that was really my job title,neutral
3682,want`s to see `2001 Maniacs` Why won`**** come through the post!?,neutral
3683, yay but u have no idea what you look like,neutral
3686,"Dagnamit, latest power twitter update is pants - no clickable links",neutral
3687,"Tired, tired, tired.. Didn`t sleep well last night..   Thought too much.. Slept not much.. Glad that it`s almost weekend!",neutral
3688,home sweet home? i think no! huaaaa,negative
3689,"Pretty sure my laptop just died 100%. HP DV2000, wireless problems constantly, tons of heat, won`t start at all now. Fried circuit?",negative
3690,Oh man. I have been sick all night. I feel awful.,negative
3691,I am totally knackered and back in the meeting,negative
3693," Sorry, that was a bit negative!",negative
3694,"_d I can`t view anything, Gerald. Not only am I banned, I can`t even read the **** place.",negative
3695,I am NOT in the mood for a long car drive,negative
3696," oh, /me still hasn`t got around to starting it",neutral
3697,the weather is good mmm what to do today??? shame working tomorrow,neutral
3698,_Escobar some people seem to be getting over it pretty quick  and the guys to me didn`t seem to care,neutral
3699,Wish I was @ wembley,positive
3700,Work today,neutral
3701," I feel for you, that sounds like how Kiya was last night  all I can say is get comfy on the couch and enjoy the cuddles!",positive
3703,My friend went to New York without me and all I got was this picture of her and Will Smith  http://twitpic.com/669l2,neutral
3705,"My heads spinning from math, started to dream in formulas. NOT good.",negative
3706,how do i get my cat 2stop killin rabbits? another headless (baby) rabbit n garden dis morn  live close 2field wher lots rabbits live,negative
3707,I am hungry already. Not impressed! And everybody has gone to Rubys,negative
3708, no wine here - I don;t drink  - but I have have plenty of forbidden cholocate,neutral
3709, (duh typo error) part 2: social networking??.. there isn`t even room for people,negative
3712,Finally. Deleted her number from my phone contacts  #heartbreak,negative
3713,TWEEEEEET! good morning twitterland! going to work at 1 so need to keep packing and cleaning this flat! move out in t minus one day,positive
3714," I`ve been well, thx. Just getting up for an early morning meeting and wondering why I agreed to it. Don`t like getting up early",neutral
3715,And this picture of her with Zack from Saved By The Bell  http://twitpic.com/669lg,neutral
3716,VERY upset....  Mom is in the hospital,negative
3717,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing,negative
3718, Aw  *hugs* Sorry man.  If I were rich I`d buy u a ticket NOW!,neutral
3720,Mortified. could lose my job,negative
3721, don`t see the link on my web interface,neutral
3722, ohhh ok. thats upsetting  sorry for wasting your time. ****,negative
3723,"I want 2 get my nails done today, but according 2 superstition I can`t. Guess I`ll have 2 wait til tomorrow then..  off 2 French!",neutral
3724, I am afraid you`ve had a bit of a #fail as the last two recommendations aren`t available in the UK,negative
3725, Omg Beckky i love you! you should`ve won the 250G`s  i was rootin for you.. hows things going?,positive
3727,"someone please tighten some bolts in my brain  :s  there are too many parts loose, some might even be missing",negative
3728,"i should of gone to kirsty`s for the night, anything to get out of the house",neutral
3729,ahh yes the obligations of a vampire kept me away from twitter.but now i`m back & will try 2 update as much as possible.i lost a donor,negative
3730,bahhhh.. cold weather is making my teeth hurt.,negative
3732,"_d We might not get Movie Night this week.  Unless it`s like really early in the morning for you, lol.",neutral
3734,ooooh.... I have a headache.  Got to go to work now,positive
3735,"I had a dream that I went to Evo fest, but I didn`t.",neutral
3736,i m totally confused and bored.. my life must change!!,negative
3740,im bored.. RC is goin maintenance,negative
3741,Morning. Forgot my daily booth yesterday.. shocking! I want to sit in the garden today and read but we have a huge bees nest,negative
3742,http://bit.ly/147HEU  - don`t judge me. tucking myself in tonight  mogwai on repeat,neutral
3744,waiting for someone`s SMS. it`s been weeks and nearly a month  :?,neutral
3745," Ugh, did you just say your friend might have swine flu? OMG, why?",negative
3746,Fighting a sore throat.. Few more days hard training then rest next week for Sunday race.. Oooohhh sun`s out... Nope.. Gone...,neutral
3747,Home. Don`t think i`ll wake up at 5. :-p I had set an alarm for 6 in the kids` room & forgot to turn it off. I feel bad about that.,negative
3748,I wish i could sleep past four a.m. on my nights off  good morning!,positive
3749,"It`s this year. Can`t catch it, won`t be in NY till Oct 2010.   http://bit.ly/AF8JT",neutral
3750,Want 2 transfer my Naini trip pictures 2my comp so I can upload thm on web bt i dnt hv my USB  Snt few via multimedia @ 5 Rs/pic. Expnsiv!,neutral
3751,yay cheerleading when im sick. its gonna be a fun  night peoples,positive
3752," july 8th flight gets in, my mate here is on about goin hm early so am all",neutral
3753,Getting very frustrated by people who don`t know what they want... can`t wait to go home tonight...,negative
3754,Just had my hair cut it looks like ****,negative
3755,"_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",negative
3757, Know exactly what you mean  I`ve lost too many friends. I do feel for you all,negative
3758, Why do I have to enter my registration details every time I update?,neutral
3759,"  We were in Lindos, and it absolutely ruled. Will post some pictures somewhere, some time. Back to work today",positive
3760,Really wish I could have gone to  this weekend,positive
3761, gosh! i hate it. my school will start in monday too.  and my classes will start 6.00 and end at 12.00 i`ll never had a chance,negative
3762,Yay! Power = on! Phone = charged. It`s hot,neutral
3763," No way. What about Sydney?  yeah, you guys are like the semi-older version of Short Stack. However, with the same talent.",neutral
3764," i had terrible trouble with `sp` words as a child, would drop the `s` pider, pade etc, needed lessons. bad memories",negative
3766,yay dad agreed to pay for my tuition and equipment! yipee not till nxt jan tho,positive
3767,Oh. Seems the playable Joker PS3 exclusivity on Arkham Asylum is much bigger than thought.,neutral
3768,wish i was home in time for the #jonaswebcast today,positive
3770, Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took,neutral
3771,got back from the embassy; missing one paper  go again on Monday!!!good luck me!!!,positive
3772, to go in their next live chat.,neutral
3773,"It`s this year. Can`t catch it, won`t be in NY till Oct 2010  http://bit.ly/AF8JT",neutral
3774,cutting hair allll day  wish i was outside,negative
3775,I thought there was more Fanta in my can than there was,neutral
3776,sorry for my lack of tweets  ive been buzy. new vid this saturday!!,negative
3777, the trailer has been removed  i have a look and see if i can find it somewhere,neutral
3778, Thats ok...ur a good person + My Idol soo good people deserve sum good comments..hows the weather ova der --London is cold,positive
3779,i dont like funerals,negative
3780, Heyyyyy us English fans want some signings too,neutral
3781,So guttered that Ruby got eliminated from NZNTM..  I`m all about supporting the locals. Haha. Hosanna better not win..!,neutral
3783,This is what I had to endure to get prizes of to my lucky winners  http://twitpic.com/669nm,negative
3784, my boss. She`s moving to NYC,neutral
3785,_Kay Morning! Hows your day. Hope you`re not another lying in the sun,neutral
3786,ARG! Eirtaku got hit by stupid bots. So much **** on a kid friendly site.,negative
3787,I miss my wacom. Especially the mouse. Laptop touch pad is horrible,negative
3788,Job???????   Not so much.,neutral
3789," yeah, I much prefer tweetdeck but if you must have multiple accounts",positive
3790,Finally gonna try and fall asleep goodnight.. More like morn... I sleeP,positive
3791,is on twitter for the second day running. This is what study leave does to me! If only my car were in one piece,negative
3793, What r u stressin` bout mare?,neutral
3794,can`t help but feel today will be a massive Michael Jackson rumour day.  [Cue all the MJ haters...],negative
3795,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
3796,the day goes on and on...i think im gonna write a song about it! still thinking itÃ¯Â¿Â½s impossible for me to get a true friend  why????,negative
3797, : nooo  i don`t know why...i click on TweetDeck_0_25_manual_Blink182.air and it doesn`t run!! so sad...,negative
3798,I miss  so much  I wish I had enough money to be with him again,negative
3799,  you aint invite me,neutral
3800,"back soon, need to run to the shops and cut the grass",neutral
3801, no not that expensive  windows or linux,neutral
3804," fyi, connie and carla is not as totally awesome as the previews make it seem  sorry about that one.",negative
3805," they are evil mean people, who hurt you. I have a terrible phobia of dentists, but had toothache from hell this week",negative
3806,"_J_Stuart Unfortunately not yet, I am still without licence.",negative
3807,I just had a horrible dream.,negative
3808,just in imagination,neutral
3810,_cupcakes that busy wowsa .. okay my pizzas gonna be a while  sorry..,negative
3811,is missing out on the sunshine and trying to stay awake after having just 2 hours sleep,neutral
3812,no food since woke up.,negative
3813,_ i`m in bed sick atm-been sick since yesterday   hru hun?,negative
3814, Suspect tax-man is at fault....,negative
3816," : Hi, there! I`m sorry for not telling you  Let`s meet up! With _meirizka too. You promised to treat us! XD",neutral
3818, Just read that message about u being at Stephanie`s in Greensboro.....love it! I miss my home!,negative
3819, Just checked the diary and it clashes with uSwitch.net beers,neutral
3820,Mozzer cancelled tonight by the looks of it.,positive
3821,_Lia  Are the drugs working?,neutral
3822, I know!  I can read bt I can`t sit outside coz I gota answer the phone,neutral
3824,nope no way in to stop  just have to put up wiv it,neutral
3825, I was asleep until my brother woke me up asking me if I ate the rest of the frosted mini wheats. I can`t go back to sleep.,negative
3827,school..  i wish it would just end already!,positive
3830,Guy coming to see my car is late,neutral
3832,This month was a bad month to try and get an advert together for Kobold Quarterly,negative
3833,My dad`s not feeling well. I want to make him soup. Suggestions guys? + get well soon ayah,negative
3836,I can`t get to bed,neutral
3838,tonight was a very bad night,negative
3839,I have too much homework to do today,negative
3840, i`m sorry but LOL! what is this about? waitt... you think your mum would still let you do bday stuff this weekend?,neutral
3841,_de_B You have to email her - she only gets what people want in so they aren`t on the site. Shame about the trousers,negative
3842,  has tickets.......?,neutral
3843, where were u?  (via ) - Meetings...,neutral
3846, alright - was only joking - I just said no wine here  - fool me maybe? - I don;t like drinking,negative
3847,Ugh RUDE!..,negative
3849,Our neighbors cat died!  I really loved him =(,neutral
3851, oh yes. There was no feasts left,neutral
3852,"We actually have milestones due for 3 high profile projects in the next 2 weeks, & they are all scheduled when I am on vacation -",neutral
3853,I just woke up. My teeth really hurt from my rubber bands,negative
3855,Burnt the **** out of my hand today.,negative
3856,"Google Adsense Income down by 6% in this months Payment, Indian Govt Happy for $ Falling, Publishers Sad",neutral
3857, Are you blogging yet? I miss you writing,negative
3858,"Now that I have a salary, I can actually spend money. Hooray! Time to go shopping and have dinner at Ahora to say goodbye to .",positive
3859, my brain has become a converter ed. i`ve been converting into LM for  the past 2 yrs. every 5 mins of every single day,neutral
3860,Dangit! I just got my Kiss Album in and it`s the wrong color.,negative
3861,Losing makeup bags is TRAGIC...luckily I keep 4 in diff places but I gotta replace my Bare Escentuals  *tearrrrrrrr*,negative
3862, No. That would be too easy. All I have is the user manual which is not enough for me to claim his bike,positive
